ID,Buses,Estacion,Rutas,Tarifa,Altitud,Longitud
1,Expreso4,Canada,Ruta Troncal,2.5,-8269,-74201
2,C,28 de Julio,Ruta Troncal,2.5,-9902,-70190
3,SX,28 de Julio,Alimentador,1.5,-7480,-79116
4,Expreso8,Ramon,Alimentador,1.5,-9787,-78249
5,Expreso7,El milagro,Alimentador,1.5,-7119,-79579
6,SX,Tacna,Alimentador,1.5,-5425,-74835
7,Expreso8,Quilca,Alimentador,1.5,-6901,-70497
8,Expreso4,Bulevar,Alimentador,1.5,-7395,-70087
9,Expreso9,Quilca,Ruta Troncal,2.5,-8486,-71245
10,C,Matellini,Ruta Troncal,2.5,-5699,-79798
11,SXN,Balta,Alimentador,1.5,-6328,-71606
12,C,Estadio Nacional,Alimentador,1.5,-8330,-78683
13,Expreso9,Honorio Delgado,Alimentador,1.5,-5218,-75403
14,Expreso2,Javier Prado,Ruta Troncal,2.5,-9069,-78491
15,B,Uni,Ruta Troncal,2.5,-6931,-78039
16,SXN,Estadio Nacional,Alimentador,1.5,-8996,-70486
17,Expreso3,Balta,Alimentador,1.5,-7525,-72173
18,D,Plaza de Flores,Ruta Troncal,2.5,-7628,-75859
19,Expreso1,Estacion D,Alimentador,1.5,-7217,-70337
20,Expreso1,Uni,Alimentador,1.5,-6119,-72416
21,B,Jiron de la Union,Ruta Troncal,2.5,-6505,-76571
22,SX,Central,Alimentador,1.5,-8229,-72835
23,SX,Central,Alimentador,1.5,-6131,-72743
24,Expreso1,Parque del trabajo,Alimentador,1.5,-5187,-78610
25,SX,Naranjal,Ruta Troncal,2.5,-6780,-72300
26,Expreso9,Independencia,Alimentador,1.5,-6963,-75368
27,B,Los jasmines,Alimentador,1.5,-5969,-78451
28,Expreso7,Estadio Union,Ruta Troncal,2.5,-5317,-72034
29,Expreso7,Estadio Nacional,Alimentador,1.5,-5720,-73648
30,Expreso7,Javier Prado,Ruta Troncal,2.5,-8073,-76319
31,B,Estacion B,Alimentador,1.5,-7753,-76979
32,Expreso2,Jiron de la Union,Ruta Troncal,2.5,-7561,-71403
33,SXN,España,Alimentador,1.5,-8989,-73811
34,D,Matellini,Ruta Troncal,2.5,-7906,-79556
35,SX,Mexico,Ruta Troncal,2.5,-6639,-76028
36,Expreso4,Escuela Militar,Alimentador,1.5,-7796,-71516
37,Expreso6,España,Alimentador,1.5,-7862,-74931
38,SX,28 de Julio,Ruta Troncal,2.5,-8426,-78781
39,A,Dos de Mayo,Ruta Troncal,2.5,-6638,-74959
40,A,Estacion C,Alimentador,1.5,-8745,-74965
41,Expreso8,Bulevar,Alimentador,1.5,-8309,-78239
42,Expreso5,Jiron de la Union,Ruta Troncal,2.5,-7608,-77526
43,Expreso3,Domingo Orue,Ruta Troncal,2.5,-7592,-72491
44,Expreso6,Teran,Ruta Troncal,2.5,-7786,-73418
45,Expreso1,Estacion B,Ruta Troncal,2.5,-5039,-78733
46,Expreso1,Honorio Delgado,Alimentador,1.5,-8740,-76492
47,D,España,Alimentador,1.5,-7966,-74449
48,Expreso7,Canaval Moreyra,Alimentador,1.5,-9550,-72966
49,B,Canada,Alimentador,1.5,-6254,-78619
50,Expreso4,Izaguirre,Ruta Troncal,2.5,-6630,-72619
51,Expreso5,Izaguirre,Ruta Troncal,2.5,-6603,-72929
52,Expreso9,Tomas Valle,Ruta Troncal,2.5,-7359,-74920
53,Expreso8,Domingo Orue,Alimentador,1.5,-8859,-75060
54,D,Benavides,Alimentador,1.5,-6578,-78123
55,Expreso3,Ricardo Palma,Ruta Troncal,2.5,-7436,-75026
56,Expreso4,Balta,Ruta Troncal,2.5,-5143,-77519
57,C,Aramburu,Alimentador,1.5,-5482,-76103
