ID,Buses,Estacion,Rutas,Tarifa,Altitud,Longitud
1,C,Jiron de la Union,Alimentador,1.5,-7479,-76484
2,Expreso3,Pacifico,Alimentador,1.5,-8708,-76673
3,Expreso9,Ramon,Alimentador,1.5,-5420,-72708
4,SX,Estacion D,Ruta Troncal,2.5,-8404,-78916
5,SX,Rosario de Villa,Alimentador,1.5,-5023,-73277
6,A,Plaza de Flores,Ruta Troncal,2.5,-8557,-75420
7,Expreso5,España,Alimentador,1.5,-8582,-78765
8,Expreso8,Canaval Moreyra,Alimentador,1.5,-8617,-76149
9,Expreso8,28 de Julio,Ruta Troncal,2.5,-8190,-72596
10,Expreso9,Domingo Orue,Ruta Troncal,2.5,-5328,-74111
11,Expreso8,Matellini,Ruta Troncal,2.5,-6756,-78003
12,Expreso1,Estacion D,Alimentador,1.5,-9859,-73830
13,SXN,Caqueta,Ruta Troncal,2.5,-8752,-70585
14,Expreso2,España,Ruta Troncal,2.5,-6145,-70934
15,B,Javier Prado,Ruta Troncal,2.5,-8606,-78423
16,C,El milagro,Alimentador,1.5,-8193,-73090
17,SXN,Parque del trabajo,Ruta Troncal,2.5,-5522,-71546
18,Expreso2,Estacion B,Alimentador,1.5,-5278,-78746
19,Expreso2,Quilca,Ruta Troncal,2.5,-6461,-79522
20,Expreso1,Canada,Ruta Troncal,2.5,-9136,-70920
21,D,Estacion D,Ruta Troncal,2.5,-9947,-78427
22,Expreso7,Estadio Union,Ruta Troncal,2.5,-7289,-74726
23,Expreso1,Estacion E,Ruta Troncal,2.5,-8773,-75775
24,Expreso6,Estadio Union,Alimentador,1.5,-8331,-75879
25,Expreso8,Izaguirre,Alimentador,1.5,-8913,-76230
26,C,Tomas Valle,Ruta Troncal,2.5,-7318,-75427
27,Expreso2,Estacion A,Ruta Troncal,2.5,-9673,-72526
28,Expreso9,Estadio Union,Alimentador,1.5,-7664,-76674
29,SX,Quilca,Ruta Troncal,2.5,-5594,-70362
30,SXN,Plaza de Flores,Ruta Troncal,2.5,-6745,-76951
31,SX,Balta,Ruta Troncal,2.5,-9678,-73009
32,Expreso5,Ricardo Palma,Ruta Troncal,2.5,-7829,-71133
33,SXN,Javier Prado,Alimentador,1.5,-5237,-74733
34,D,Caqueta,Ruta Troncal,2.5,-6988,-75842
35,B,Estacion D,Ruta Troncal,2.5,-7965,-79344
36,D,Escuela Militar,Ruta Troncal,2.5,-8847,-77947
37,Expreso8,Aramburu,Alimentador,1.5,-6377,-73875
38,Expreso8,Dos de Mayo,Alimentador,1.5,-6388,-71114
